Metabolite Name,PubChem,HMDB,SMILES
"Propionic acid, 3-iodo-, octadecyl ester",91692911,,CCCCCCCCCCCCCCCCCCOC(=O)CCI
Propylene glycol,1030,,CC(CO)O
Prostaglandin,,,
"Pyrazole[4,5-b]imidazole, 1-formyl-3-ethyl-6-beta-d-ribofuranosyl-",,,
"Quinoxaline, 2,3-diphenyl- ",74311,,C1=CC=C(C=C1)C2=NC3=CC=CC=C3N=C2C4=CC=CC=C4
Salsoline,40010,,C[C@@H]1C2=CC(=C(C=C2CCN1)O)OC
Sarcosine,1088,HMDB0000271,CNCC(=O)O
Simetryn,13905,,CCNC1=NC(=NC(=N1)SC)NCC
Spiroxamine,86160,,CCCN(CC)CC1COC2(O1)CCC(CC2)C(C)(C)C
Stearic acid,5281,HMDB0000827,CCCCCCCCCCCCCCCCCC(=O)O
Suberic acid,10457,HMDB0000893,C(CCCC(=O)O)CCC(=O)O
Succinamide,8036,HMDB0258539,C(CC(=O)N)C(=O)N
Sulindac,1548887,HMDB0014743,CC\1=C(C2=C(/C1=C\C3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O
Supraene,638072,HMDB0000256,CC(=CCC/C(=C/CC/C(=C/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/C)/C)C
Synephrine,7172,HMDB0004826,CNCC(C1=CC=C(C=C1)O)O
Taurine,1123,HMDB0000251,C(CS(=O)(=O)O)N
tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,6430553,,CCC/C=C(/C(=O)O[Si](C)(C)C(C)(C)C)\O[Si](C)(C)C(C)(C)C
tert-Butylamine,6385,,CC(C)(C)N
"Tetrahydro[2,2']bifuranyl-5-one",551231,,C1CC(OC1)C2CCC(=O)O2
Tetrahydro-solasodine triacetate,587726,,CC1CCC(N(C1)C(=O)C)C(C)C2C(CC3C2(CCC4C3CCC5C4(CCC(C5)OC(=O)C)C)C)OC(=O)C
Theobromine,5429,HMDB0002825,CN1C=NC2=C1C(=O)NC(=O)N2C
Thymol,6989,HMDB0001878,CC1=CC(=C(C=C1)C(C)C)O
Triethyl citrate,6506,HMDB0034263,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O
Trimethylolpropane,6510,,CCC(CO)(CO)CO
Tromethamine,6503,HMDB0240288,C(C(CO)(CO)N)O
Tyr-Val,7009560,,CC(C)[C@@H](C(=O)O)NC(=O)[C@H](CC1=CC=C(C=C1)O)N
Uracil,1174,HMDB0000300,C1=CNC(=O)NC1=O
Urea,1176,HMDB0000294,C(=O)(N)N
Vanillylmandelic acid,1245,,COC1=C(C=CC(=C1)C(C(=O)O)O)O
"Weberine, 5-desmethoxy-",616877,,CN1CCC2=CC(=C(C(=C2C1)OC)OC)OC
Xylazine,5707,,CC1=C(C(=CC=C1)C)NC2=NCCCS2
Yangonin,5281575,HMDB0034144,COC1=CC=C(C=C1)/C=C/C2=CC(=CC(=O)O2)OC
